Timestamp,Seg01,Seg02,Seg03,Seg04,Seg05,Seg06,Seg07,Seg08,Seg09,Seg010,Seg011,Seg012,Seg013,Seg014,Seg015
2025-04-28 08:22:15,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:16,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:17,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:18,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:19,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[2.5849266052246094, 0.18621577322483063]","[2.5914037227630615, 0.03388563171029091]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:20,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[2.5914037227630615, 0.03388563171029091]","[2.588911771774292, -0.11856169998645782]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:21,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[3.13008189201355, 0.04092947766184807]","[6.992671012878418, -0.32023608684539795]","[3.113239049911499, -0.3268483281135559]","[3.0886311531066895, -0.509358286857605]","[2.8555896282196045, -0.6454118490219116]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:22,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[3.13008189201355, 0.04092947766184807]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[3.0886311531066895, -0.509358286857605]","[2.8555896282196045, -0.6454118490219116]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:23,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[3.13008189201355, 0.04092947766184807]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[3.0886311531066895, -0.509358286857605]","[2.8555896282196045, -0.6454118490219116]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:22:24,"[0.8992162942886353, 0.34475675225257874]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[3.13008189201355, 0.04092947766184807]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[3.0886311531066895, -0.509358286857605]","[2.8555896282196045, -0.6454118490219116]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
