Timestamp,Seg01,Seg02,Seg03,Seg04,Seg05,Seg06,Seg07,Seg08,Seg09,Seg010,Seg011,Seg012,Seg013,Seg014,Seg015
2025-04-28 08:22:15,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5453873872756958, -0.05005806311964989]","[0.5968839526176453, -0.09843448549509048]","[0.6250096559524536, -0.14987848699092865]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:16,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6772372126579285, -0.16240276396274567]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:17,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6661620140075684, -0.159746915102005]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:18,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6661620140075684, -0.159746915102005]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:19,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6250096559524536, -0.14987848699092865]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:20,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:21,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:22,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:23,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[2.5920908451080322, 0.9168046712875366]","[0.7590437531471252, 0.20847579836845398]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:24,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[2.5920908451080322, 0.9168046712875366]","[0.7590437531471252, 0.20847579836845398]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
